Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2000-01-03,35.66806411743164,36.29918804015295,34.27194150050268,35.916688693049124,53228400
2000-01-04,34.46320724487305,35.84020553656609,34.34845738723196,34.750081888975764,54119000
2000-01-05,34.826595306396484,35.61071963784199,33.468721464137204,34.0042210075634,64059600
2000-01-06,33.65996551513672,34.845714300329035,33.1627160245722,34.32933982935818,54976600
2000-01-07,34.09983444213867,34.34845914642796,32.8375859434392,33.23921046575267,62013600
2000-01-10,34.34844970703125,34.78832406296762,34.08070009906998,34.71182417497869,44963600
2000-01-11,33.46872329711914,34.960472106933594,33.25834846496582,34.11897277832031,46743600
2000-01-12,32.37858200073242,33.3157057562173,31.957832559494317,33.2009559086069,66532400
2000-01-13,32.9905891418457,33.23921387161034,31.05896624136662,31.938715285149172,83144000
2000-01-14,34.34844970703125,34.864823950956556,32.35945261931897,32.79932697525534,73416400
2000-01-18,35.28556442260742,35.6489387987752,34.19544129410411,34.21456626127083,81483600
2000-01-19,32.74197006225586,34.118968803191855,32.43597034204786,33.812969082983855,97568200
2000-01-20,32.43595504760742,33.56432848381546,32.397705100617316,32.7610795970233,56349800
2000-01-21,31.74745750427246,32.818456070681655,31.59445770907115,32.741956173081,68416200
2000-01-24,30.98246192932129,32.34033526079154,30.84858709382422,31.761804721679216,63597600
2000-01-25,31.460594177246094,31.78571885871308,30.46609515158239,30.90596972062595,59823200
2000-01-26,30.408700942993164,31.670948906664577,30.332201066407016,31.345824431173455,49365000
2000-01-27,30.217470169067383,30.963344432734235,29.758470622195475,30.56650107450123,63654800
2000-01-28,30.0644588470459,30.67645800932673,29.75845926590548,30.026208899403343,58225400
2000-01-31,29.949708938598633,30.04533380749582,29.031710197185646,29.873209043480884,73194200
2000-02-01,31.49884796142578,31.594472879341463,29.892349340442316,30.14097412702309,70196600
2000-02-02,30.84859848022461,31.804847658160895,30.75297356243098,31.345848052751478,49915600
2000-02-03,31.709217071533203,31.88134189279002,30.638218183713025,31.231092568042055,49186000
2000-02-04,32.60810852050781,33.04798329820382,31.86701514504173,31.93873385879651,55365400
2000-02-07,32.627201080322266,32.70370096562196,31.90045216997511,32.68457599429704,40005800
2000-02-08,33.64082717895508,33.65995215176858,32.569828701398805,32.569828701398805,56229000
2000-02-09,31.823970794677734,33.487844267716774,31.78572082978029,33.487844267716774,55090000
2000-02-10,32.43595504760742,32.608079809062886,31.364956531884534,31.79048719214943,54527800
2000-02-11,30.580839157104492,32.09171238625475,30.332214448510147,32.09171238625475,115559000
2000-02-14,30.485219955444336,31.13546931459434,30.313095125081098,30.977688220094706,81028600
2000-02-15,30.16009521484375,30.59996978043754,30.026220347054338,30.52346985598645,71027600
2000-02-16,29.873212814331055,30.65733683826676,29.720213004782625,30.370462195363455,65202600
2000-02-17,30.485219955444336,30.504344936595803,29.725001954673374,30.14097029471786,80343400
2000-02-18,29.089094161987305,30.619092540001105,29.03171922281179,30.599967560275932,79063000
2000-02-22,28.706592559814453,29.7202164143582,28.400592905612566,29.108217105954427,66296200
2000-02-23,28.84046173095703,29.299461121900645,28.171087619164265,28.610962035485226,75847200
2000-02-24,28.99346351623535,29.33771308305081,28.151964575130897,28.840463708761813,69733200
2000-02-25,27.941600799560547,28.979131150947378,27.69297601489642,28.974349905088452,65301400
2000-02-28,28.018096923828125,28.19022175134652,26.966222977882357,27.616472326285194,76131800
2000-02-29,27.348724365234375,28.075473684030815,27.195724508645654,28.075473684030815,58437400
2000-03-01,27.788593292236328,28.79265464656696,27.21484394690454,27.42521870685953,106889800
2000-03-02,28.572738647460938,29.184738404300795,27.884238921016095,28.094613837429797,106932600
2000-03-03,29.414199829101562,30.255698393783273,28.72570100345289,28.99345054676071,101435200
2000-03-06,27.731225967407227,29.79672417739342,27.57822610000084,29.37597454202586,93609400
2000-03-07,28.419719696044922,29.83496818696506,28.13284500193949,29.414218635610425,135061000
2000-03-08,29.242084503173828,29.433334238315577,27.84596143663904,28.70658524477692,94290000
2000-03-09,30.59994888305664,30.599948883056637,29.069951438903807,29.165576279163357,88198800
2000-03-10,30.905942916870117,31.36494206910086,30.44694376463937,30.46606872931565,85589000
2000-03-13,29.987964630126953,30.676463818063542,29.83496481058549,29.873214765470856,61831800
2000-03-14,29.108213424682617,30.37046183863075,29.10821342468262,30.17921207894164,73489200
2000-03-15,29.184717178344727,29.567216748178865,28.66834275906864,28.936092457952537,53208000
2000-03-16,29.184717178344727,29.58634172667057,28.53446790962669,29.35684198477009,77300800
2000-03-17,30.408700942993164,30.446950881286234,28.916953349563308,29.146452979321747,81161600
2000-03-20,29.796707153320312,30.523456108279344,29.528957538335405,30.217456548296592,47773000
2000-03-21,31.441452026367188,31.556201851280935,29.528954944471373,29.605454827747206,81648800
2000-03-22,31.594463348388672,32.321212505312864,30.944214102719656,31.460588503692108,93975800
2000-03-23,34.233699798583984,34.53969934985624,32.62720215440463,32.684577070268176,148224000
2000-03-24,34.176334381103516,35.18995817640205,33.52608515393087,34.46320904015027,112196800
2000-03-27,31.84308433532715,33.12445769897094,31.804834384173603,32.97623913825095,111434000
2000-03-28,31.919588088989258,32.87583698320703,31.32671377457424,31.70921333226135,81114400
2000-03-29,32.79933166503906,33.3348309575295,32.16820749888962,32.187332473621424,64363800
2000-03-30,31.632705688476562,33.239203438072714,31.364956063543872,32.49332948290307,64178400
2000-03-31,32.51247024536133,33.12446968527401,31.8622208404541,32.43597031537224,64281400
2000-04-03,27.8077335357666,29.528982516659994,27.539983694294293,28.897857890332414,260118200
2000-04-04,27.100093841552734,28.151967632156406,25.990845116916137,28.018092786079574,181244400
2000-04-05,26.430713653564453,27.0809627593685,26.277713863963502,27.004462864568023,82887600
2000-04-06,26.31597137451172,26.92797070880269,26.091252868951752,26.889720750409502,66421400
2000-04-07,27.25309181213379,27.348716695685134,26.00996832596628,26.6219675806949,82613600
2000-04-10,26.335105895996094,27.119230327176805,26.315980909869737,27.119230327176805,60685400
2000-04-11,25.665714263916016,26.3350883319019,25.550964423689862,26.04821373133652,71961800
2000-04-12,24.288715362548828,25.16846410796398,24.097465635284664,25.130214162511148,153003800
2000-04-13,24.250463485717773,25.16846210347365,24.173963600904784,24.747712737002207,94316200
2000-04-14,22.68222999572754,24.326978545164778,22.41448023186566,24.21222864636683,151217800
2000-04-17,23.217723846435547,23.255973803348947,22.33797483742728,22.72047440656131,119772200
2000-04-18,24.6520938873291,25.072843356313772,23.217720697608634,23.408970456238027,91794600
2000-04-19,24.07834243774414,24.93896627388273,23.906217670516423,24.919841299746317,53715400
2000-04-20,24.15485382080078,24.44172856926635,23.714979206486912,24.059228904645593,52387400
2000-04-24,20.387226104736328,20.807975611588297,19.889976687547637,20.578475880578132,313645800
2000-04-25,21.228727340698242,21.26697729987067,20.693227912284232,21.037477544836097,159517400
2000-04-26,20.80797004699707,21.764218670480393,20.616720322300406,21.419969166026394,107091200
2000-04-27,21.362607955932617,21.40085792541504,20.61673355102539,20.6358585357666,77669800
2000-04-28,21.34347152709961,21.725971016832577,20.884472139420048,21.649471118885984,78082600
