Date,AAPL,MSFT,XOM,BP
2015-01-02,24.26104736328125,39.93305206298828,58.42348098754883,20.229780197143555
2015-01-05,23.577577590942383,39.56583786010742,56.824913024902344,19.15778923034668
2015-01-06,23.579790115356445,38.98511505126953,56.522796630859375,19.01450538635254
2015-01-07,23.91043472290039,39.48044204711914,57.095542907714844,19.0622615814209
2015-01-08,24.829120635986328,40.64187240600586,58.04586410522461,19.49212646484375
2015-01-09,24.855754852294922,40.30026626586914,57.96405792236328,19.412513732910156
2015-01-12,24.24329948425293,39.79641342163086,56.850074768066406,19.131250381469727
2015-01-13,24.458547592163086,39.59146499633789,56.642398834228516,19.083484649658203
2015-01-14,24.365339279174805,39.24985885620117,56.478755950927734,18.929588317871094
2015-01-15,23.704059600830078,38.839935302734375,55.98784637451172,18.961429595947266
2015-01-16,23.519878387451172,39.488975524902344,57.34727478027344,20.091796875
2015-01-20,24.125686645507812,39.61707305908203,57.32838439941406,20.00157928466797
2015-01-21,24.309865951538086,39.21569061279297,57.81928634643555,20.60125732421875
2015-01-22,24.942298889160156,40.2490348815918,58.44866180419922,20.68616485595703
2015-01-23,25.071008682250977,40.291744232177734,57.2025146484375,20.643709182739258
2015-01-26,25.097627639770508,40.14655685424805,57.750064849853516,21.185012817382812
2015-01-27,24.21888542175293,36.43165969848633,57.240272521972656,21.33891487121582
2015-01-28,25.588043212890625,35.17627716064453,55.35219192504883,20.633098602294922
2015-01-29,26.384693145751953,35.876556396484375,55.11935806274414,20.56411361694336
2015-01-30,25.998571395874023,34.501609802246094,55.01861572265625,20.606557846069336
2015-02-02,26.32477378845215,35.253150939941406,56.378055572509766,21.153167724609375
2015-02-03,26.329208374023438,35.52642059326172,58.058448791503906,21.81121826171875
2015-02-04,26.531143188476562,35.73137283325195,57.56126022338867,21.466278076171875
2015-02-05,26.720516204833984,36.25231170654297,58.127689361572266,21.959810256958008
2015-02-06,26.49550437927246,36.2181510925293,58.01987838745117,21.848365783691406
2015-02-09,26.67150115966797,36.17546081542969,58.057952880859375,22.081871032714844
2015-02-10,27.18390464782715,36.38042068481445,57.70918273925781,21.890825271606445
2015-02-11,27.821060180664062,36.192527770996094,57.449195861816406,21.729265213012695
2015-02-12,28.173059463500977,36.79886245727539,58.57155227661133,22.262407302856445
2015-02-13,28.311185836791992,37.464996337890625,59.20564270019531,22.580123901367188
2015-02-17,28.4782772064209,37.48219680786133,59.00273895263672,22.499345779418945
2015-02-18,28.67654800415039,37.43918228149414,57.70918273925781,22.483196258544922
2015-02-19,28.616392135620117,37.413394927978516,56.71365737915039,22.181621551513672
2015-02-20,28.850322723388672,37.7230110168457,57.018009185791016,22.23009490966797
2015-02-23,29.63006591796875,37.972442626953125,56.441001892089844,22.197790145874023
2015-02-24,29.445146560668945,37.92083740234375,56.700950622558594,22.397029876708984
2015-02-25,28.692138671875,37.83482360839844,56.81509780883789,22.56935691833496
2015-02-26,29.055278778076172,37.895042419433594,56.212703704833984,22.27317237854004
2015-02-27,28.618627548217773,37.714420318603516,56.142948150634766,22.316255569458008
2015-03-02,28.75897216796875,37.74021530151367,55.82590866088867,22.240863800048828
2015-03-03,28.81913185119629,37.22417068481445,55.55958938598633,22.47781753540039
2015-03-04,28.636444091796875,37.034950256347656,55.280601501464844,22.36472511291504
